Year,Variable,Month,Value
2020,Money Supply Component_Demand deposits  ,April,31170.49
2020,Total Assets of the Banking System   ,April,94556.02
2020,Money Supply Component_Currency outside banks  ,April,14314.56
2020,Net Domestic Assets_Other Items (net)  ,April,-24929.09
2020,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,April,49460.31
2020,Net Domestic Assets_Govt. Deposits  ,April,17635.59
2020,Net Domestic Assets  ,April,67962.89
2020,Net Domestic Assets_Claims on Govt.  ,April,61067.26
2020,Net Foreign Assets_DMBs  ,April,143.63
2020,Net Foreign Assets_BOG  ,April,26449.5
2020,Net Foreign Assets  ,April,26593.13
2019,Money Supply_Total Liquidity (M2+)  ,April,80948.25
2019,Money Supply_Broad Money (M2)  ,April,62642.47
2019,Money Supply_ Narrow Money  (M1)  ,April,37021.82
2019,Money Supply_Reserve Money (RM)  ,April,21977.25
2019,Total Liabilities of the Bankning System  ,April,81021.35
2019,Money Supply Component_Foreign currency deposits  ,April,18305.78
2019,Money Supply Component_Savings & Time deposits  ,April,25620.65
2019,Money Supply Component_Currency outside banks  ,April,11143.38
2019,Money Supply Component_Demand deposits  ,April,25878.43
2019,Total Assets of the Banking System   ,April,81021.35
2019,Net Domestic Assets_Other Items (net)  ,April,-4669.71
2019,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,April,41305.95
2019,Net Domestic Assets_Govt. Deposits  ,April,20120.42
2019,Net Domestic Assets_Claims on Govt.  ,April,41287.32
